,masuk_antrian,mulai_layanan,selesai_layanan,new_masuk_antrian,lama_antrian,lama_layanan,lama_proses
0,00:00:36.337,00:00:36.586,00:00:38.187,00:00:36,0.0,2.0,2.0
1,00:00:42.933,00:00:43.075,00:00:46.329,00:00:42,1.0,3.0,4.0
2,00:00:49.447,00:00:49.593,00:00:52.338,00:00:49,0.0,3.0,3.0
3,00:01:17.415,00:01:17.558,00:01:19.813,00:01:17,0.0,2.0,2.0
4,00:01:27.513,00:01:27.656,00:01:30.651,00:01:27,0.0,3.0,3.0
5,00:01:44.236,00:01:44.412,00:01:47.063,00:01:44,0.0,3.0,3.0
6,00:01:50.456,00:01:50.633,00:01:53.226,00:01:50,0.0,3.0,3.0
7,00:02:41.843,00:02:42.023,00:02:45.564,00:02:41,1.0,3.0,4.0
8,00:03:04.279,00:03:04.458,00:03:06.129,00:03:04,0.0,2.0,2.0
9,00:03:12.764,00:03:12.907,00:03:14.443,00:03:12,0.0,2.0,2.0
10,00:03:25.092,00:03:25.304,00:03:28.941,00:03:25,0.0,3.0,3.0
11,00:03:49.725,00:03:49.902,00:03:58.988,00:03:49,0.0,9.0,9.0
12,00:04:43.976,00:04:44.118,00:04:50.219,00:04:43,1.0,6.0,7.0
13,00:04:50.360,00:04:52.327,00:05:15.712,00:04:50,2.0,23.0,25.0
14,00:08:55.062,00:08:55.275,00:08:56.833,00:08:55,0.0,1.0,1.0
15,00:09:00.280,00:09:00.459,00:09:05.264,00:09:01,0.0,5.0,5.0
16,00:09:15.197,00:09:15.409,00:09:19.235,00:09:15,0.0,4.0,4.0
17,00:09:19.447,00:09:23.282,00:09:24.165,00:09:23,4.0,1.0,5.0
18,00:09:24.342,00:09:26.226,00:09:26.868,00:09:25,2.0,0.0,2.0
19,00:09:27.046,00:09:29.946,00:09:30.123,00:09:27,2.0,1.0,3.0
20,00:09:32.466,00:09:32.679,00:09:33.632,00:09:33,0.0,1.0,1.0
21,00:09:39.478,00:09:39.691,00:09:41.216,00:09:39,0.0,2.0,2.0
22,00:09:45.263,00:09:45.440,00:09:46.968,00:09:45,0.0,1.0,1.0
23,00:09:47.750,00:09:47.929,00:09:49.342,00:09:48,0.0,2.0,2.0
24,00:10:00.008,00:10:00.184,00:10:02.872,00:10:00,0.0,2.0,2.0
25,00:10:30.539,00:10:30.716,00:10:33.341,00:10:30,0.0,3.0,3.0
26,00:10:50.402,00:10:50.584,00:10:58.112,00:10:50,0.0,8.0,8.0
27,00:11:02.780,00:11:02.992,00:11:07.382,00:11:02,0.0,5.0,5.0
28,00:11:30.418,00:11:30.594,00:11:33.916,00:11:30,0.0,3.0,3.0
29,00:11:49.679,00:11:49.890,00:11:53.456,00:11:49,0.0,4.0,4.0
30,00:11:55.641,00:11:55.783,00:11:57.267,00:11:55,0.0,2.0,2.0
31,00:12:26.015,00:12:26.156,00:12:32.773,00:12:26,0.0,6.0,6.0
