,masuk_antrian,mulai_layanan,selesai_layanan,new_masuk_antrian,lama_antrian,lama_layanan,lama_proses
0,00:00:26.911,00:00:27.126,00:00:27.373,00:00:26,1.0,0.0,1.0
1,00:00:40.766,00:00:41.016,00:00:41.230,00:00:40,1.0,0.0,1.0
2,00:00:45.105,00:00:45.389,00:00:45.674,00:00:45,0.0,0.0,0.0
3,00:00:54.932,00:00:55.114,00:00:55.399,00:00:54,1.0,0.0,1.0
4,00:01:12.700,00:01:12.951,00:01:13.201,00:01:12,0.0,1.0,1.0
5,00:01:27.467,00:01:27.647,00:01:27.895,00:01:27,0.0,0.0,0.0
6,00:01:37.401,00:01:37.649,00:01:37.935,00:01:37,0.0,0.0,0.0
7,00:01:53.380,00:01:53.699,00:01:53.982,00:01:53,0.0,0.0,0.0
8,00:02:06.071,00:02:06.355,00:02:06.675,00:02:06,0.0,0.0,0.0
9,00:02:07.279,00:02:07.528,00:02:07.814,00:02:07,0.0,0.0,0.0
10,00:02:08.133,00:02:08.379,00:02:08.626,00:02:08,0.0,0.0,0.0
11,00:02:22.207,00:02:32.834,00:02:33.153,00:02:22,10.0,1.0,11.0
12,00:02:33.440,00:02:37.981,00:02:38.441,00:02:33,4.0,1.0,5.0
13,00:03:07.470,00:03:07.757,00:03:08.074,00:03:07,0.0,1.0,1.0
14,00:03:11.522,00:03:11.877,00:03:12.267,00:03:12,0.0,1.0,1.0
15,00:03:19.010,00:03:20.328,00:03:20.576,00:03:19,1.0,0.0,1.0
16,00:03:20.860,00:03:21.181,00:03:21.393,00:03:20,1.0,0.0,1.0
17,00:03:21.607,00:03:21.784,00:03:23.843,00:03:21,0.0,2.0,2.0
18,00:03:24.236,00:03:38.753,00:03:38.930,00:03:26,14.0,0.0,14.0
19,00:03:39.108,00:03:40.350,00:03:40.529,00:03:39,1.0,0.0,1.0
20,00:03:40.706,00:03:41.242,00:03:41.382,00:03:40,1.0,0.0,1.0
21,00:03:41.523,00:03:42.307,00:03:42.448,00:03:41,1.0,0.0,1.0
22,00:03:42.553,00:03:43.152,00:03:43.296,00:03:42,1.0,0.0,1.0
23,00:03:43.797,00:03:50.359,00:03:50.465,00:03:43,7.0,0.0,7.0
24,00:03:52.662,00:03:52.803,00:03:52.909,00:03:52,0.0,0.0,0.0
25,00:04:10.933,00:04:11.076,00:04:11.222,00:04:10,1.0,0.0,1.0
26,00:04:15.265,00:04:15.442,00:04:15.583,00:04:15,0.0,0.0,0.0
27,00:04:21.716,00:04:21.859,00:04:22.035,00:04:21,0.0,1.0,1.0
28,00:04:22.818,00:04:22.995,00:04:23.207,00:04:23,0.0,1.0,1.0
29,00:04:27.538,00:04:27.715,00:04:27.860,00:04:28,0.0,0.0,0.0
30,00:04:28.992,00:04:29.134,00:04:29.347,00:04:28,1.0,0.0,1.0
31,00:04:30.021,00:04:30.198,00:04:30.377,00:04:30,0.0,0.0,0.0
32,00:04:31.053,00:04:31.231,00:04:31.410,00:04:31,0.0,0.0,0.0
33,00:04:32.339,00:04:32.515,00:04:32.694,00:04:32,0.0,0.0,0.0
34,00:04:36.244,00:04:36.458,00:04:36.676,00:04:36,0.0,0.0,0.0
35,00:04:37.280,00:04:37.429,00:04:37.607,00:04:37,0.0,0.0,0.0
36,00:04:38.246,00:04:38.387,00:04:38.565,00:04:38,0.0,0.0,0.0
37,00:04:39.307,00:04:39.449,00:04:39.625,00:04:39,0.0,0.0,0.0
38,00:04:40.559,00:04:42.446,00:04:42.909,00:04:40,2.0,0.0,2.0
39,00:04:43.344,00:04:46.194,00:04:46.300,00:04:43,3.0,0.0,3.0
40,00:04:55.263,00:04:55.407,00:04:55.583,00:04:55,0.0,0.0,0.0
41,00:05:30.478,00:05:30.655,00:05:30.797,00:05:30,0.0,0.0,0.0
42,00:05:34.180,00:05:34.322,00:05:34.465,00:05:34,0.0,0.0,0.0
43,00:05:35.569,00:05:35.782,00:05:35.959,00:05:35,0.0,0.0,0.0
44,00:05:37.343,00:05:37.528,00:05:37.783,00:05:37,0.0,0.0,0.0
45,00:05:58.558,00:05:58.701,00:05:58.879,00:05:58,0.0,0.0,0.0
46,00:06:00.018,00:06:00.161,00:06:00.267,00:06:00,0.0,0.0,0.0
47,00:06:02.218,00:06:02.395,00:06:02.536,00:06:02,0.0,0.0,0.0
48,00:06:04.456,00:06:04.637,00:06:05.244,00:06:04,0.0,1.0,1.0
49,00:06:07.087,00:06:07.265,00:06:07.443,00:06:08,0.0,0.0,0.0
50,00:06:09.962,00:06:10.104,00:06:20.661,00:06:09,1.0,10.0,11.0
