,masuk_antrian,mulai_layanan,selesai_layanan,new_masuk_antrian,lama_antrian,lama_layanan,lama_proses
0,00:00:09.312,00:00:09.559,00:00:09.879,00:00:09,0.0,0.0,0.0
1,00:00:14.963,00:00:15.386,00:00:15.737,00:00:14,1.0,0.0,1.0
2,00:00:17.289,00:00:17.747,00:00:18.139,00:00:17,0.0,1.0,1.0
3,00:00:24.030,00:00:24.771,00:00:30.318,00:00:24,0.0,6.0,6.0
4,00:00:35.325,00:00:35.571,00:00:35.818,00:00:35,0.0,0.0,0.0
5,00:01:56.056,00:01:56.373,00:01:56.690,00:01:56,0.0,0.0,0.0
6,00:03:14.513,00:03:15.678,00:03:16.456,00:03:14,1.0,1.0,2.0
7,00:04:07.557,00:04:08.014,00:04:08.436,00:04:07,1.0,0.0,1.0
8,00:04:29.097,00:04:29.379,00:04:29.627,00:04:29,0.0,0.0,0.0
9,00:05:16.469,00:05:16.751,00:05:17.032,00:05:16,0.0,1.0,1.0
10,00:05:31.555,00:05:31.836,00:05:32.119,00:05:31,0.0,1.0,1.0
11,00:09:33.858,00:09:34.070,00:09:34.351,00:09:33,1.0,0.0,1.0
12,00:09:49.139,00:09:49.351,00:09:49.562,00:09:49,0.0,0.0,0.0
13,00:09:53.407,00:09:53.619,00:09:53.795,00:09:53,0.0,0.0,0.0
14,00:10:34.604,00:10:34.851,00:10:35.169,00:10:34,0.0,1.0,1.0
15,00:12:05.547,00:12:05.759,00:12:05.970,00:12:05,0.0,0.0,0.0
16,00:12:11.718,00:12:11.929,00:12:12.211,00:12:11,0.0,1.0,1.0
17,00:12:23.854,00:12:24.136,00:12:24.382,00:12:23,1.0,0.0,1.0
18,00:13:19.107,00:13:19.318,00:13:19.495,00:13:19,0.0,0.0,0.0
19,00:13:43.514,00:13:43.691,00:13:43.832,00:13:43,0.0,0.0,0.0
20,00:13:56.391,00:13:56.602,00:13:56.778,00:13:56,0.0,0.0,0.0
21,00:14:04.848,00:14:05.059,00:14:05.341,00:14:04,1.0,0.0,1.0
22,00:14:10.031,00:14:10.385,00:14:10.702,00:14:10,0.0,0.0,0.0
23,00:14:40.870,00:14:41.117,00:14:41.363,00:14:40,1.0,0.0,1.0
24,00:14:46.508,00:14:46.824,00:14:47.111,00:14:46,0.0,1.0,1.0
25,00:16:06.943,00:16:07.119,00:16:07.260,00:16:06,1.0,0.0,1.0
26,00:16:50.238,00:16:50.484,00:16:50.731,00:16:50,0.0,0.0,0.0
27,00:17:17.625,00:17:17.872,00:17:18.190,00:17:17,0.0,1.0,1.0
28,00:18:35.104,00:18:35.351,00:18:35.609,00:18:35,0.0,0.0,0.0
29,00:19:18.028,00:19:18.309,00:19:18.556,00:19:18,0.0,0.0,0.0
