,masuk_antrian,mulai_layanan,selesai_layanan,new_masuk_antrian,lama_antrian,lama_layanan,lama_proses
0,00:00:31.053,00:00:32.825,00:00:58.176,00:00:31,1.0,26.0,27.0
1,00:01:09.765,00:01:35.770,00:02:37.665,00:01:09,26.0,62.0,88.0
2,00:02:43.347,00:02:48.861,00:03:59.321,00:02:43,5.0,71.0,76.0
3,00:04:00.495,00:04:01.630,00:06:27.998,00:04:00,1.0,146.0,147.0
4,00:06:28.953,00:06:34.088,00:07:03.560,00:06:28,6.0,29.0,35.0
5,00:07:04.343,00:07:06.293,00:07:35.784,00:07:04,2.0,29.0,31.0
6,00:07:36.208,00:07:37.766,00:09:06.576,00:07:36,1.0,89.0,90.0
7,00:09:07.793,00:09:09.179,00:09:36.684,00:09:07,2.0,27.0,29.0
8,00:09:37.149,00:09:49.394,00:10:18.276,00:09:37,12.0,29.0,41.0
9,00:10:18.808,00:10:22.672,00:11:21.242,00:10:18,4.0,59.0,63.0
10,00:13:01.845,00:13:02.235,00:13:50.482,00:13:01,1.0,48.0,49.0
11,00:13:51.795,00:13:52.362,00:14:37.797,00:13:51,1.0,45.0,46.0
12,00:14:46.608,00:14:48.063,00:15:28.954,00:14:46,2.0,40.0,42.0
13,00:15:36.929,00:15:37.429,00:16:58.684,00:15:36,1.0,81.0,82.0
14,00:17:07.961,00:17:08.245,00:17:48.435,00:17:07,1.0,40.0,41.0
