Lap;Lap time;Total time
1;00:00:36.337;00:00:36.337
2;00:00:00.249;00:00:36.586
3;00:00:01.601;00:00:38.187
4;00:00:04.746;00:00:42.933
5;00:00:00.142;00:00:43.075
6;00:00:03.254;00:00:46.329
7;00:00:03.118;00:00:49.447
8;00:00:00.146;00:00:49.593
9;00:00:02.745;00:00:52.338
10;00:00:25.077;00:01:17.415
11;00:00:00.143;00:01:17.558
12;00:00:02.255;00:01:19.813
13;00:00:07.700;00:01:27.513
14;00:00:00.143;00:01:27.656
15;00:00:02.995;00:01:30.651
16;00:00:13.585;00:01:44.236
17;00:00:00.176;00:01:44.412
18;00:00:02.651;00:01:47.063
19;00:00:03.393;00:01:50.456
20;00:00:00.177;00:01:50.633
21;00:00:02.593;00:01:53.226
22;00:00:48.617;00:02:41.843
23;00:00:00.180;00:02:42.023
24;00:00:03.541;00:02:45.564
25;00:00:18.715;00:03:04.279
26;00:00:00.179;00:03:04.458
27;00:00:01.671;00:03:06.129
28;00:00:06.635;00:03:12.764
29;00:00:00.143;00:03:12.907
30;00:00:01.536;00:03:14.443
31;00:00:10.649;00:03:25.092
32;00:00:00.212;00:03:25.304
33;00:00:03.637;00:03:28.941
34;00:00:20.784;00:03:49.725
35;00:00:00.177;00:03:49.902
36;00:00:09.086;00:03:58.988
37;00:00:44.988;00:04:43.976
38;00:00:00.142;00:04:44.118
39;00:00:06.101;00:04:50.219
40;00:00:00.141;00:04:50.360
41;00:00:01.967;00:04:52.327
42;00:00:23.385;00:05:15.712
43;00:03:39.350;00:08:55.062
44;00:00:00.213;00:08:55.275
45;00:00:01.558;00:08:56.833
46;00:00:03.447;00:09:00.280
47;00:00:00.179;00:09:00.459
48;00:00:04.805;00:09:05.264
49;00:00:09.933;00:09:15.197
50;00:00:00.212;00:09:15.409
51;00:00:03.826;00:09:19.235
52;00:00:00.212;00:09:19.447
53;00:00:03.835;00:09:23.282
54;00:00:00.883;00:09:24.165
55;00:00:00.177;00:09:24.342
56;00:00:01.884;00:09:26.226
57;00:00:00.642;00:09:26.868
58;00:00:00.178;00:09:27.046
59;00:00:02.900;00:09:29.946
60;00:00:00.177;00:09:30.123
61;00:00:02.343;00:09:32.466
62;00:00:00.213;00:09:32.679
63;00:00:00.953;00:09:33.632
64;00:00:05.846;00:09:39.478
65;00:00:00.213;00:09:39.691
66;00:00:01.525;00:09:41.216
67;00:00:04.047;00:09:45.263
68;00:00:00.177;00:09:45.440
69;00:00:01.528;00:09:46.968
70;00:00:00.782;00:09:47.750
71;00:00:00.179;00:09:47.929
72;00:00:01.413;00:09:49.342
73;00:00:10.666;00:10:00.008
74;00:00:00.176;00:10:00.184
75;00:00:02.688;00:10:02.872
76;00:00:27.667;00:10:30.539
77;00:00:00.177;00:10:30.716
78;00:00:02.625;00:10:33.341
79;00:00:17.061;00:10:50.402
80;00:00:00.182;00:10:50.584
81;00:00:07.528;00:10:58.112
82;00:00:04.668;00:11:02.780
83;00:00:00.212;00:11:02.992
84;00:00:04.390;00:11:07.382
85;00:00:23.036;00:11:30.418
86;00:00:00.176;00:11:30.594
87;00:00:03.322;00:11:33.916
88;00:00:15.763;00:11:49.679
89;00:00:00.211;00:11:49.890
90;00:00:03.566;00:11:53.456
91;00:00:02.185;00:11:55.641
92;00:00:00.142;00:11:55.783
93;00:00:01.484;00:11:57.267
94;00:00:28.748;00:12:26.015
95;00:00:00.141;00:12:26.156
96;00:00:06.617;00:12:32.773
