Lap;Lap time;Total time
1;00:00:26.911;00:00:26.911
2;00:00:00.215;00:00:27.126
3;00:00:00.247;00:00:27.373
4;00:00:13.393;00:00:40.766
5;00:00:00.250;00:00:41.016
6;00:00:00.214;00:00:41.230
7;00:00:03.875;00:00:45.105
8;00:00:00.284;00:00:45.389
9;00:00:00.285;00:00:45.674
10;00:00:09.258;00:00:54.932
11;00:00:00.182;00:00:55.114
12;00:00:00.285;00:00:55.399
13;00:00:17.301;00:01:12.700
14;00:00:00.251;00:01:12.951
15;00:00:00.250;00:01:13.201
16;00:00:14.266;00:01:27.467
17;00:00:00.180;00:01:27.647
18;00:00:00.248;00:01:27.895
19;00:00:09.506;00:01:37.401
20;00:00:00.248;00:01:37.649
21;00:00:00.286;00:01:37.935
22;00:00:15.445;00:01:53.380
23;00:00:00.319;00:01:53.699
24;00:00:00.283;00:01:53.982
25;00:00:12.089;00:02:06.071
26;00:00:00.284;00:02:06.355
27;00:00:00.320;00:02:06.675
28;00:00:00.604;00:02:07.279
29;00:00:00.249;00:02:07.528
30;00:00:00.286;00:02:07.814
31;00:00:00.319;00:02:08.133
32;00:00:00.246;00:02:08.379
33;00:00:00.247;00:02:08.626
34;00:00:13.581;00:02:22.207
35;00:00:10.627;00:02:32.834
36;00:00:00.319;00:02:33.153
37;00:00:00.287;00:02:33.440
38;00:00:04.541;00:02:37.981
39;00:00:00.460;00:02:38.441
40;00:00:29.029;00:03:07.470
41;00:00:00.287;00:03:07.757
42;00:00:00.317;00:03:08.074
43;00:00:03.448;00:03:11.522
44;00:00:00.355;00:03:11.877
45;00:00:00.390;00:03:12.267
46;00:00:06.743;00:03:19.010
47;00:00:01.318;00:03:20.328
48;00:00:00.248;00:03:20.576
49;00:00:00.284;00:03:20.860
50;00:00:00.321;00:03:21.181
51;00:00:00.212;00:03:21.393
52;00:00:00.214;00:03:21.607
53;00:00:00.177;00:03:21.784
54;00:00:02.059;00:03:23.843
55;00:00:00.393;00:03:24.236
56;00:00:14.517;00:03:38.753
57;00:00:00.177;00:03:38.930
58;00:00:00.178;00:03:39.108
59;00:00:01.242;00:03:40.350
60;00:00:00.179;00:03:40.529
61;00:00:00.177;00:03:40.706
62;00:00:00.536;00:03:41.242
63;00:00:00.140;00:03:41.382
64;00:00:00.141;00:03:41.523
65;00:00:00.784;00:03:42.307
66;00:00:00.141;00:03:42.448
67;00:00:00.105;00:03:42.553
68;00:00:00.599;00:03:43.152
69;00:00:00.144;00:03:43.296
70;00:00:00.501;00:03:43.797
71;00:00:06.562;00:03:50.359
72;00:00:00.106;00:03:50.465
73;00:00:02.197;00:03:52.662
74;00:00:00.141;00:03:52.803
75;00:00:00.106;00:03:52.909
76;00:00:18.024;00:04:10.933
77;00:00:00.143;00:04:11.076
78;00:00:00.146;00:04:11.222
79;00:00:04.043;00:04:15.265
80;00:00:00.177;00:04:15.442
81;00:00:00.141;00:04:15.583
82;00:00:06.133;00:04:21.716
83;00:00:00.143;00:04:21.859
84;00:00:00.176;00:04:22.035
85;00:00:00.783;00:04:22.818
86;00:00:00.177;00:04:22.995
87;00:00:00.212;00:04:23.207
88;00:00:04.331;00:04:27.538
89;00:00:00.177;00:04:27.715
90;00:00:00.145;00:04:27.860
91;00:00:01.132;00:04:28.992
92;00:00:00.142;00:04:29.134
93;00:00:00.213;00:04:29.347
94;00:00:00.674;00:04:30.021
95;00:00:00.177;00:04:30.198
96;00:00:00.179;00:04:30.377
97;00:00:00.676;00:04:31.053
98;00:00:00.178;00:04:31.231
99;00:00:00.179;00:04:31.410
100;00:00:00.929;00:04:32.339
101;00:00:00.176;00:04:32.515
102;00:00:00.179;00:04:32.694
103;00:00:03.550;00:04:36.244
104;00:00:00.214;00:04:36.458
105;00:00:00.218;00:04:36.676
106;00:00:00.604;00:04:37.280
107;00:00:00.149;00:04:37.429
108;00:00:00.178;00:04:37.607
109;00:00:00.639;00:04:38.246
110;00:00:00.141;00:04:38.387
111;00:00:00.178;00:04:38.565
112;00:00:00.742;00:04:39.307
113;00:00:00.142;00:04:39.449
114;00:00:00.176;00:04:39.625
115;00:00:00.934;00:04:40.559
116;00:00:01.887;00:04:42.446
117;00:00:00.463;00:04:42.909
118;00:00:00.435;00:04:43.344
119;00:00:02.850;00:04:46.194
120;00:00:00.106;00:04:46.300
121;00:00:08.963;00:04:55.263
122;00:00:00.144;00:04:55.407
123;00:00:00.176;00:04:55.583
124;00:00:34.895;00:05:30.478
125;00:00:00.177;00:05:30.655
126;00:00:00.142;00:05:30.797
127;00:00:03.383;00:05:34.180
128;00:00:00.142;00:05:34.322
129;00:00:00.143;00:05:34.465
130;00:00:01.104;00:05:35.569
131;00:00:00.213;00:05:35.782
132;00:00:00.177;00:05:35.959
133;00:00:01.384;00:05:37.343
134;00:00:00.185;00:05:37.528
135;00:00:00.255;00:05:37.783
136;00:00:20.775;00:05:58.558
137;00:00:00.143;00:05:58.701
138;00:00:00.178;00:05:58.879
139;00:00:01.139;00:06:00.018
140;00:00:00.143;00:06:00.161
141;00:00:00.106;00:06:00.267
142;00:00:01.951;00:06:02.218
143;00:00:00.177;00:06:02.395
144;00:00:00.141;00:06:02.536
145;00:00:01.920;00:06:04.456
146;00:00:00.181;00:06:04.637
147;00:00:00.607;00:06:05.244
148;00:00:01.843;00:06:07.087
149;00:00:00.178;00:06:07.265
150;00:00:00.178;00:06:07.443
151;00:00:02.519;00:06:09.962
152;00:00:00.142;00:06:10.104
153;00:00:10.557;00:06:20.661
