Lap;Lap time;Total time
1;00:00:09.312;00:00:09.312
2;00:00:00.247;00:00:09.559
3;00:00:00.320;00:00:09.879
4;00:00:05.084;00:00:14.963
5;00:00:00.423;00:00:15.386
6;00:00:00.351;00:00:15.737
7;00:00:01.552;00:00:17.289
8;00:00:00.458;00:00:17.747
9;00:00:00.392;00:00:18.139
10;00:00:05.891;00:00:24.030
11;00:00:00.741;00:00:24.771
12;00:00:05.547;00:00:30.318
13;00:00:05.007;00:00:35.325
14;00:00:00.246;00:00:35.571
15;00:00:00.247;00:00:35.818
16;00:01:20.238;00:01:56.056
17;00:00:00.317;00:01:56.373
18;00:00:00.317;00:01:56.690
19;00:01:17.823;00:03:14.513
20;00:00:01.165;00:03:15.678
21;00:00:00.778;00:03:16.456
22;00:00:51.101;00:04:07.557
23;00:00:00.457;00:04:08.014
24;00:00:00.422;00:04:08.436
25;00:00:20.661;00:04:29.097
26;00:00:00.282;00:04:29.379
27;00:00:00.248;00:04:29.627
28;00:00:46.842;00:05:16.469
29;00:00:00.282;00:05:16.751
30;00:00:00.281;00:05:17.032
31;00:00:14.523;00:05:31.555
32;00:00:00.281;00:05:31.836
33;00:00:00.283;00:05:32.119
34;00:04:01.739;00:09:33.858
35;00:00:00.212;00:09:34.070
36;00:00:00.281;00:09:34.351
37;00:00:14.788;00:09:49.139
38;00:00:00.212;00:09:49.351
39;00:00:00.211;00:09:49.562
40;00:00:03.845;00:09:53.407
41;00:00:00.212;00:09:53.619
42;00:00:00.176;00:09:53.795
43;00:00:40.809;00:10:34.604
44;00:00:00.247;00:10:34.851
45;00:00:00.318;00:10:35.169
46;00:01:30.378;00:12:05.547
47;00:00:00.212;00:12:05.759
48;00:00:00.211;00:12:05.970
49;00:00:05.748;00:12:11.718
50;00:00:00.211;00:12:11.929
51;00:00:00.282;00:12:12.211
52;00:00:11.643;00:12:23.854
53;00:00:00.282;00:12:24.136
54;00:00:00.246;00:12:24.382
55;00:00:54.725;00:13:19.107
56;00:00:00.211;00:13:19.318
57;00:00:00.177;00:13:19.495
58;00:00:24.019;00:13:43.514
59;00:00:00.177;00:13:43.691
60;00:00:00.141;00:13:43.832
61;00:00:12.559;00:13:56.391
62;00:00:00.211;00:13:56.602
63;00:00:00.176;00:13:56.778
64;00:00:08.070;00:14:04.848
65;00:00:00.211;00:14:05.059
66;00:00:00.282;00:14:05.341
67;00:00:04.690;00:14:10.031
68;00:00:00.354;00:14:10.385
69;00:00:00.317;00:14:10.702
70;00:00:30.168;00:14:40.870
71;00:00:00.247;00:14:41.117
72;00:00:00.246;00:14:41.363
73;00:00:05.145;00:14:46.508
74;00:00:00.316;00:14:46.824
75;00:00:00.287;00:14:47.111
76;00:01:19.832;00:16:06.943
77;00:00:00.176;00:16:07.119
78;00:00:00.141;00:16:07.260
79;00:00:42.978;00:16:50.238
80;00:00:00.246;00:16:50.484
81;00:00:00.247;00:16:50.731
82;00:00:26.894;00:17:17.625
83;00:00:00.247;00:17:17.872
84;00:00:00.318;00:17:18.190
85;00:01:16.914;00:18:35.104
86;00:00:00.247;00:18:35.351
87;00:00:00.258;00:18:35.609
88;00:00:42.419;00:19:18.028
89;00:00:00.281;00:19:18.309
90;00:00:00.247;00:19:18.556
