Lap;Lap time;Total time
1;00:00:02.284;00:00:02.284
2;00:00:01.023;00:00:03.307
3;00:00:25.666;00:00:28.973
4;00:01:41.466;00:02:10.439
5;00:00:00.212;00:02:10.651
6;00:00:14.632;00:02:25.283
7;00:01:32.783;00:03:58.066
8;00:00:00.176;00:03:58.242
9;00:00:11.536;00:04:09.778
10;00:00:17.858;00:04:27.636
11;00:00:00.176;00:04:27.812
12;00:00:13.711;00:04:41.523
13;00:01:16.117;00:05:57.640
14;00:00:00.423;00:05:58.063
15;00:00:14.107;00:06:12.170
16;00:00:32.792;00:06:44.962
17;00:00:00.142;00:06:45.104
18;00:00:07.787;00:06:52.891
19;00:00:07.579;00:07:00.470
20;00:00:00.145;00:07:00.615
21;00:00:06.526;00:07:07.141
22;00:00:57.990;00:08:05.131
23;00:00:00.142;00:08:05.273
24;00:00:09.266;00:08:14.539
25;00:02:37.332;00:10:51.871
26;00:00:00.141;00:10:52.012
27;00:00:14.626;00:11:06.638
28;00:00:03.808;00:11:10.446
29;00:00:00.176;00:11:10.622
30;00:00:04.230;00:11:14.852
31;00:03:29.484;00:14:44.336
32;00:00:00.141;00:14:44.477
33;00:00:27.636;00:15:12.113
34;00:00:41.189;00:15:53.302
35;00:00:00.141;00:15:53.443
36;00:00:15.919;00:16:09.362
37;00:00:54.550;00:17:03.912
38;00:00:00.141;00:17:04.053
39;00:00:29.969;00:17:34.022
40;00:01:02.840;00:18:36.862
41;00:00:00.142;00:18:37.004
42;00:00:29.673;00:19:06.677
43;00:05:38.355;00:24:45.032
44;00:00:00.248;00:24:45.280
45;00:00:37.643;00:25:22.923
